name,width,height,cut,range,slow,self_camo,camo_aura,uncamo,reload_time,bullet_lifespan,damage,upgrade_costs,colour,cost,root,base,combination,self_cleave,move_cleave,cleave,cleave_cost,show_base,components,activate_cost,self_activate,activatable,activate,unlocked,shop,unlock_towers,number,unlock wave,pathway,game_info,info
C3bBbP,35,35,"70, 90,",80,0,1,1.0,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",80,",,","C3, C3b,","None, C3bBbPC3b,",",,","(C3a; C3b),","(C3a; C3b),",5,,"C3b, Bb, P,",5,0,0,,1,0,",,",10,0,"Alternative,",Stabilised alternative pathway C3 Convertase,"Alternative pathway stabilised C3 Convertase, cleaves C3 into C3b and C3a, a base for C3b to create C5 Convertase"
C3bBbPC3b,35,35,"140, 90,",80,0,1,1.0,0,20,60,1,"15, 30, 15, 75,","148, 0, 211,",10,",,","C5,","None,",",,","(C5a; C5b),","(C5a; C5b),",5,,"C3b, Bb, P, C3b,",5,0,0,,1,0,"C5, C5b, C5a,",10,0,"Alternative, Lytic,",Stabilised alternative pathway C5 Convertase,"Alternative pathway stabilised C5 Convertase, cleaves C5 into C5a and C5b"
C3bBbC3b,35,35,"105, 90,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","148, 0, 211,",10,",,","C5, P,","None, C3bBbPC3b,",",,","(C5a; C5b),","(C5a; C5b),",5,,"C3b, Bb, C3b,",5,0,0,,1,0,"C5, C5b, C5a,",10,0,"Alternative, Lytic,",Alternative pathway C5 Convertase,"Alternative pathway C5 Convertase, cleaves C5 into C5a and C5b"
C5,35,35,"275, 35,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C3bBbC3b, C4b2b3b, C3bBbPC3b,","C3bBbC3b, C4b2b3b, C3bBbPC3b,",",,","(C5a; C5b), (C5a; C5b), (C5a; C5b),","(C5a; C5b), (C5a; C5b), (C5a; C5b),",5,C5 Convertase,"C5,",5,0,0,,1,1,",,",99,0,"Lytic,",The first step of the terminal pathway,
C5a,35,35,"245, 0,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,",",,",",,",",,",",,",",,",5,,"C5a,",5,0,0,,1,1,",,",10,0,"Lytic,",The offshoot when C5 is cleaved,
C5b,35,35,"210, 0,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C6,","C5b-6,",",,",",,",",,",5,,"C5b,",5,0,0,,1,1,"C6,",10,0,"Lytic,",A base for C6,
C6,35,35,"0, 35,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C5b,","C5b-6,",",,",",,",",,",5,C5b,"C6,",5,0,0,,1,1,"C7,",99,0,"Lytic,",Combines with C5b,
C7,35,35,"35, 35,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C5b-6,","C5b-7,",",,",",,",",,",5,C5b-6,"C7,",5,0,0,,1,1,"C8,",99,0,"Lytic,",Combines with C5b-6,
C8,35,35,"70, 35,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C5b-7,","C5b-8,",",,",",,",",,",5,C5b-7,"C8,",5,0,0,,1,1,",,",99,0,"Lytic,",Combines with C5b-7,
C9,35,35,"105, 35,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C5b-8,","C5b-9,",",,",",,",",,",5,C5b-8 and C5b-9,"C9,",5,0,0,,1,1,",,",99,0,"Lytic,","Multiple C9's, between 10 to 16, will join with C5b-8 to become the MAC",
C5b-9,35,35,"105, 125,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,",",,",",,",",,",",,",",,",5,,"C5b, C6, C7, C8, C9,",5,0,0,,1,0,"C1r, C1s, C1q, MBL,",10,0,"Lytic,",The membrane attack complex (the MAC). Combine more C9s with it.,
C5b-6,35,35,"0, 125,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",100,",,","C7,","C5b-7,",",,",",,",",,",5,,"C5b, C6,",5,0,0,,1,0,"C7,",10,0,"Lytic,",A base for C7,
C5b-7,35,35,"35, 125,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",105,",,","C8,","C5b-8,",",,",",,",",,",5,,"C5b, C6, C7,",5,0,0,,1,0,"C8,",10,0,"Lytic,",A base for C8,
C5b-8,35,35,"70, 125,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",120,",,","C9,","C5b-9,",",,",",,",",,",5,,"C5b, C6, C7, C8,",5,0,0,,1,0,"C9,",10,0,"Lytic,",Forms the MAC,
C1q,35,35,"140, 35,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C1r2C1s2,","C1 Complex,",",,",",,",",,",5,,"C1q,",5,0,0,,1,1,",,",99,0,"Classical,",,One of these forms the base of the C1 Complex
C1r,35,35,"175, 35,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C1s,","C1rC1s,",",,",",,",",,",5,C1s,"C1r,",5,0,0,,1,1,",,",99,0,"Classical,",,Two of these pair with two C1s proteins to form part of the C1 Complex
C1s,35,35,"210, 35,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C1r,","C1rC1s,",",,",",,",",,",5,C1r,"C1s,",5,0,0,,1,1,",,",99,0,"Classical,",,Two of these pair with two C1r proteins to form part of the C1 Complex
C1rC1s,35,35,"0, 0,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C1rC1s,","C1r2C1s2,",",,",",,",",,",5,C1rC1s,"C1r, C1s,",5,1,0,,1,0,",,",10,0,"Classical,",,
C1r2C1s2,35,35,"0, 0,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C1q,","C1 Complex,",",,",",,",",,",5,C1q,"C1r, C1s, C1r, C1s,",5,0,0,,1,0,",,",10,0,"Classical,",,
MBL,35,35,"175, 90,",80,1,0,1.0,0,20,60,1,"15, 30, 15, 75,","148, 0, 211,",10,",,",",,",",,",",,",",,",",,",5,,"MBL,",5,0,0,MASP-1,1,1,"MASP-1,",99,0,"Lectin,",Slows enemies down within its aura,Activates MASP-1
C1 Complex,35,35,"175, 125,",80,0,0,1.0,0,20,60,1,"15, 30, 15, 75,","148, 0, 211,",10,"C1 Complex,","C4, C4bC2,","None, C4b2b,",",,","(C4b; C4a), C2a,","(C4b; C4a; C1 Complex), (C2a; C1 Complex),",5,C4 or C4bC2,"C1q, C1s, C1s, C1r, C1r,",5,1,0,,1,0,"C4, C2,",99,0,"Classical,",,"Formed from one C1q, two C1r, and two C1s. The bound C1s proteins cleave C4 and C2"
MASP-1,35,35,"175, 160,",80,0,1,,0,20,60,1,"15, 30, 15, 75,","200, 200, 0,",10,"MASP-1,","C4bC2,","C4b2b,",",,","C2a,","(C2a; MASP-1),",5,C4bC2,"MASP-1,",5,1,0,MASP-2,1,1,"MASP-2, C2,",99,0,"Lectin,",,Activates MASP-2 and can cleave C2
MASP-2,35,35,"210, 160,",80,0,1,,0,20,60,1,"15, 30, 15, 75,","200, 200, 0,",10,"MASP-2,","C4bC2, C4,","C4b2b, None,",",,","C2a, (C4b; C4a),","(C2a; MASP-2), (C4b; C4a; MASP-2),",5,C4 or C4bC2,"MASP-2,",10,0,1,,1,1,"C4,",99,0,"Lectin,",,Cleaves C2 and C4
C2,35,35,"245, 35,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C4b,","C4bC2,",",,",",,",",,",5,C4b,"C2,",5,0,0,,1,1,"C2b, C2a,",99,0,"Classical, Lectin,",,Is cleaved into C2b and C2a
C4,35,35,"140, 160,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","MASP-2, C1 Complex,","MASP-2, C1 Complex,",",,","(C4b; C4a), (C4b; C4a),","(C4b; C4a), (C4b; C4a),",5,,"C4,",5,0,0,,1,1,"C4b, C4a,",99,0,"Classical, Lectin,",,Is cleaved into C4b and C4a
C2a,35,35,"105, 160,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,",",,",",,",",,",",,",",,",5,,"C2a,",5,0,0,,1,1,",,",10,0,"Classical, Lectin,",,Cleaved from C2
C2b,35,35,"70, 160,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,",",,",",,",",,",",,",",,",5,,"C2b,",5,0,0,,1,1,",,",10,0,"Classical, Lectin,",,Comines with C4b
C4b,35,35,"0, 160,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C2,","C4bC2,",",,",",,",",,",5,,"C4b,",5,0,0,,1,1,",,",10,0,"Classical, Lectin,",,Base for C2b
C4a,35,35,"35, 160,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,",",,",",,",",,",",,",",,",5,,"C4a,",5,0,0,,1,1,",,",10,0,"Classical, Lectin,",,Cleaved from C4
C4bC2,35,35,"0, 0,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,"MASP-2, MASP-1, C1 Complex,","MASP-2, MASP-1, C1 Complex,","C4b2b, C4b2b, C4b2b,",",,","C2a, C2a, C2a,","(C2a; MASP-2), (C2a; MASP-1), (C2a; C1 Complex),",5,,"C4b, C2,",5,0,0,,1,0,",,",10,0,"Classical, Lectin,",,Classical/Lectin pathway C3 Convertase before C2 is cleaved
C4b2b,35,35,"210, 125,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C3, C3b,","None, C4b2b3b,",",,","(C3a; C3b),","(C3a; C3b),",5,,"C4b, C2b,",5,0,0,,1,0,",,",10,0,"Classical, Lectin,",Classical/Lectin pathway C3 Convertase,
C4b2b3b,35,35,"140, 125,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,","C5,","None,",",,","(C5a; C5b),","(C5a; C5b),",5,,"C4b, C2b, C3b,",5,0,0,,1,0,",,",10,0,"Classical, Lectin, Lytic,",Classical/Lectin pathway C5 Convertase,Classical/Lectin pathway C5 Convertase
CD59,35,35,"0, 0,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,",",,",",,",",,",",,",",,",5,,"CD59,",5,0,0,,1,0,",,",10,0,",,",,
C1-inhibitor,35,35,"0, 0,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,",",,",",,",",,",",,",",,",5,,"C1-inhibitor,",5,0,0,,1,0,",,",10,0,",,",,
Factor H,35,35,"0, 0,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,",",,",",,",",,",",,",",,",5,,"Factor H,",5,0,0,,1,1,",,",10,0,",,",,
Factor I,35,35,"0, 0,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,",",,",",,",",,",",,",",,",5,,"Factor I,",5,0,0,,1,0,",,",10,0,",,",,
DAF,35,35,"0, 0,",80,0,0,,0,20,60,1,"15, 30, 15, 75,","200, 200, 200,",10,",,",",,",",,",",,",",,",",,",5,,"DAF,",5,0,0,,1,0,",,",10,0,",,",,
